Región,Distrito constituyente,Comunas
Arica y Parinacota,13 convencionales constituyentes,Arica
Arica y Parinacota,13 convencionales constituyentes,Camarones
Arica y Parinacota,13 convencionales constituyentes,General Lagos
Arica y Parinacota,13 convencionales constituyentes,Putre
Tarapacá,23 convencionales constituyentes,Alto Hospicio
Tarapacá,23 convencionales constituyentes,Camiña
Tarapacá,23 convencionales constituyentes,Colchane
Tarapacá,23 convencionales constituyentes,Huara
Tarapacá,23 convencionales constituyentes,Iquique
Tarapacá,23 convencionales constituyentes,Pica
Tarapacá,23 convencionales constituyentes,Pozo Almonte
Antofagasta,34 convencionales constituyentes,Calama
Antofagasta,34 convencionales constituyentes,María Elena
Antofagasta,34 convencionales constituyentes,Ollagüe
Antofagasta,34 convencionales constituyentes,San Pedro de Atacama
Antofagasta,34 convencionales constituyentes,Tocopilla
Antofagasta,34 convencionales constituyentes,Antofagasta
Antofagasta,34 convencionales constituyentes,Mejillones
Antofagasta,34 convencionales constituyentes,Sierra Gorda
Antofagasta,34 convencionales constituyentes,Taltal
Atacama,44 convencionales constituyentes,Chañaral
Atacama,44 convencionales constituyentes,Copiapó
Atacama,44 convencionales constituyentes,Diego de Almagro
Atacama,44 convencionales constituyentes,Alto del Carmen
Atacama,44 convencionales constituyentes,Caldera
Atacama,44 convencionales constituyentes,Huasco
Atacama,44 convencionales constituyentes,Freirina
Atacama,44 convencionales constituyentes,Tierra Amarilla
Atacama,44 convencionales constituyentes,Vallenar
Coquimbo,56 convencionales constituyentes,Andacollo
Coquimbo,56 convencionales constituyentes,La Higuera
Coquimbo,56 convencionales constituyentes,La Serena
Coquimbo,56 convencionales constituyentes,Paihuano
Coquimbo,56 convencionales constituyentes,Vicuña
Coquimbo,56 convencionales constituyentes,Coquimbo
Coquimbo,56 convencionales constituyentes,Ovalle
Coquimbo,56 convencionales constituyentes,Río Hurtado
Coquimbo,56 convencionales constituyentes,Canela
Coquimbo,56 convencionales constituyentes,Combarbalá
Coquimbo,56 convencionales constituyentes,Illapel
Coquimbo,56 convencionales constituyentes,Los Vilos
Coquimbo,56 convencionales constituyentes,Monte Patria
Coquimbo,56 convencionales constituyentes,Punitaqui
Coquimbo,56 convencionales constituyentes,Salamanca
Valparaíso,68 convencionales constituyentes,Cabildo
Valparaíso,68 convencionales constituyentes,La Calera
Valparaíso,68 convencionales constituyentes,Hijuelas
Valparaíso,68 convencionales constituyentes,La Cruz
Valparaíso,68 convencionales constituyentes,La Ligua
Valparaíso,68 convencionales constituyentes,Nogales
Valparaíso,68 convencionales constituyentes,Papudo
Valparaíso,68 convencionales constituyentes,Petorca
Valparaíso,68 convencionales constituyentes,Puchuncaví
Valparaíso,68 convencionales constituyentes,Quillota
Valparaíso,68 convencionales constituyentes,Quintero
Valparaíso,68 convencionales constituyentes,Zapallar
Valparaíso,68 convencionales constituyentes,Calle Larga
Valparaíso,68 convencionales constituyentes,Catemu
Valparaíso,68 convencionales constituyentes,Llaillay
Valparaíso,68 convencionales constituyentes,Los Andes
Valparaíso,68 convencionales constituyentes,Panquehue
Valparaíso,68 convencionales constituyentes,Putaendo
Valparaíso,68 convencionales constituyentes,Rinconada
Valparaíso,68 convencionales constituyentes,San Esteban
Valparaíso,68 convencionales constituyentes,San Felipe
Valparaíso,68 convencionales constituyentes,Santa María
Valparaíso,68 convencionales constituyentes,Limache
Valparaíso,68 convencionales constituyentes,Olmué
Valparaíso,68 convencionales constituyentes,Quilpué
Valparaíso,68 convencionales constituyentes,Villa Alemana
Valparaíso,77 convencionales constituyentes,Isla de Pascua
Valparaíso,77 convencionales constituyentes,Juan Fernández
Valparaíso,77 convencionales constituyentes,Valparaíso
Valparaíso,77 convencionales constituyentes,Concón
Valparaíso,77 convencionales constituyentes,Viña del Mar
Valparaíso,77 convencionales constituyentes,Algarrobo
Valparaíso,77 convencionales constituyentes,Cartagena
Valparaíso,77 convencionales constituyentes,Casablanca
Valparaíso,77 convencionales constituyentes,El Quisco
Valparaíso,77 convencionales constituyentes,El Tabo
Valparaíso,77 convencionales constituyentes,San Antonio
Valparaíso,77 convencionales constituyentes,Santo Domingo
Metropolitanade Santiago,87 convencionales constituyentes,Colina
Metropolitanade Santiago,87 convencionales constituyentes,Lampa
Metropolitanade Santiago,87 convencionales constituyentes,Quilicura
Metropolitanade Santiago,87 convencionales constituyentes,Pudahuel
Metropolitanade Santiago,87 convencionales constituyentes,Tiltil
Metropolitanade Santiago,87 convencionales constituyentes,Cerrillos
Metropolitanade Santiago,87 convencionales constituyentes,Estación Central
Metropolitanade Santiago,87 convencionales constituyentes,Maipú
Metropolitanade Santiago,96 convencionales constituyentes,Conchalí
Metropolitanade Santiago,96 convencionales constituyentes,Huechuraba
Metropolitanade Santiago,96 convencionales constituyentes,Renca
Metropolitanade Santiago,96 convencionales constituyentes,Cerro Navia
Metropolitanade Santiago,96 convencionales constituyentes,Lo Prado
Metropolitanade Santiago,96 convencionales constituyentes,Quinta Normal
Metropolitanade Santiago,96 convencionales constituyentes,Independencia
Metropolitanade Santiago,96 convencionales constituyentes,Recoleta
Metropolitanade Santiago,107 convencionales constituyentes,Santiago
Metropolitanade Santiago,107 convencionales constituyentes,Ñuñoa
Metropolitanade Santiago,107 convencionales constituyentes,Providencia
Metropolitanade Santiago,107 convencionales constituyentes,La Granja
Metropolitanade Santiago,107 convencionales constituyentes,Macul
Metropolitanade Santiago,107 convencionales constituyentes,San Joaquín
Metropolitanade Santiago,116 convencionales constituyentes,Las Condes
Metropolitanade Santiago,116 convencionales constituyentes,Lo Barnechea
Metropolitanade Santiago,116 convencionales constituyentes,Vitacura
Metropolitanade Santiago,116 convencionales constituyentes,La Reina
Metropolitanade Santiago,116 convencionales constituyentes,Peñalolén
Metropolitanade Santiago,126 convencionales constituyentes,La Florida
Metropolitanade Santiago,126 convencionales constituyentes,Puente Alto
Metropolitanade Santiago,126 convencionales constituyentes,La Pintana
Metropolitanade Santiago,126 convencionales constituyentes,Pirque
Metropolitanade Santiago,126 convencionales constituyentes,San José de Maipo
Metropolitanade Santiago,134 convencionales constituyentes,El Bosque
Metropolitanade Santiago,134 convencionales constituyentes,La Cisterna
Metropolitanade Santiago,134 convencionales constituyentes,San Ramón
Metropolitanade Santiago,134 convencionales constituyentes,Lo Espejo
Metropolitanade Santiago,134 convencionales constituyentes,Pedro Aguirre Cerda
Metropolitanade Santiago,134 convencionales constituyentes,San Miguel
Metropolitanade Santiago,145 convencionales constituyentes,Buin
Metropolitanade Santiago,145 convencionales constituyentes,Calera de Tango
Metropolitanade Santiago,145 convencionales constituyentes,Paine
Metropolitanade Santiago,145 convencionales constituyentes,San Bernardo
Metropolitanade Santiago,145 convencionales constituyentes,Alhué
Metropolitanade Santiago,145 convencionales constituyentes,Curacaví
Metropolitanade Santiago,145 convencionales constituyentes,El Monte
Metropolitanade Santiago,145 convencionales constituyentes,Isla de Maipo
Metropolitanade Santiago,145 convencionales constituyentes,María Pinto
Metropolitanade Santiago,145 convencionales constituyentes,Melipilla
Metropolitanade Santiago,145 convencionales constituyentes,Padre Hurtado
Metropolitanade Santiago,145 convencionales constituyentes,Peñaflor
Metropolitanade Santiago,145 convencionales constituyentes,San Pedro
Metropolitanade Santiago,145 convencionales constituyentes,Talagante
O'Higgins,155 convencionales constituyentes,Rancagua
O'Higgins,155 convencionales constituyentes,Codegua
O'Higgins,155 convencionales constituyentes,Coínco
O'Higgins,155 convencionales constituyentes,Coltauco
O'Higgins,155 convencionales constituyentes,Doñihue
O'Higgins,155 convencionales constituyentes,Graneros
O'Higgins,155 convencionales constituyentes,Machalí
O'Higgins,155 convencionales constituyentes,Malloa
O'Higgins,155 convencionales constituyentes,Mostazal
O'Higgins,155 convencionales constituyentes,Olivar
O'Higgins,155 convencionales constituyentes,Quinta de Tilcoco
O'Higgins,155 convencionales constituyentes,Rengo
O'Higgins,155 convencionales constituyentes,Requínoa
O'Higgins,164 convencionales constituyentes,Chimbarongo
O'Higgins,164 convencionales constituyentes,Las Cabras
O'Higgins,164 convencionales constituyentes,Peumo
O'Higgins,164 convencionales constituyentes,Pichidegua
O'Higgins,164 convencionales constituyentes,San Fernando
O'Higgins,164 convencionales constituyentes,San Vicente
O'Higgins,164 convencionales constituyentes,Chépica
O'Higgins,164 convencionales constituyentes,La Estrella
O'Higgins,164 convencionales constituyentes,Litueche
O'Higgins,164 convencionales constituyentes,Lolol
